input,expected_output,category,document,expected_source,expects_offer
"Jaký je roční limit plnění pro pojištění elektromotorů?","50 000 Kč; spoluúčast 10 % z pojistného plnění.","in_scope","VPP M-200_23","čl. 29 odst. 10",true
"Do jaké výše se hradí zachraňovací náklady při záchraně života nebo zdraví osob?","Až 30 % z horní hranice pojistného plnění (běžně jen 10 %).","in_scope","VPP M-200_23","čl. 13 odst. 2 a 3",true
"Jaká rychlost větru se považuje za vichřici?","20,8 m/s a vyšší.","in_scope","VPP M-200_23","čl. 44 odst. 59",
"Od jakého stupně mezinárodní stupnice se uznává zemětřesení jako pojistná událost?","Alespoň 6. stupeň stupnice EMS-98, měřeno v místě pojištění (ne v epicentru).","in_scope","VPP M-200_23","čl. 44 odst. 68",
"Do kolika dnů je splatné pojistné plnění po skončení šetření?","Do 15 dnů od skončení šetření.","in_scope","VPP M-200_23","čl. 12 odst. 3",false
"Jak dlouho má pojišťovna na ukončení šetření škodné události?","Nejpozději do 3 měsíců od obdržení oznámení.","in_scope","VPP M-200_23","čl. 12 odst. 1",false
"Jaký je limit na náhradní ubytování ve variantě KOMFORT?","25 000 Kč na jeden byt, nejvýše 250 000 Kč za všechny byty.","in_scope","VPP M-200_23","čl. 29 odst. 13 písm. c",true
"Kdy je územní platnost pojištění omezena?","Újma i její příčina musí nastat na území ČR, není-li ujednáno jinak.","in_scope","VPP M-200_23","čl. 9",true
"Co se stane, pokud škoda vznikne povodní do 10 dnů od uzavření smlouvy?","Pojišťovna není povinna z této události plnit.","in_scope","VPP M-200_23","čl. 8 odst. 3",true
"Co se rozumí podpojištěním a jaký má důsledek?","Pojistná částka je nižší než pojistná hodnota; pojišťovna může snížit plnění ve stejném poměru. Při souhlasu s indexací se podpojištění neuplatní.","in_scope","VPP M-200_23","čl. 27",
"Kryje varianta PRIMA krádež vloupáním?","Ne — krádež s překonáním překážky, loupež a vandalismus jsou jen ve variantě KOMFORT (PRIMA kryje živelní nebezpečí). Lze připojistit PRIMA PLUS.","in_scope","VPP M-200_23","čl. 23 (PRIMA odst. 1–4, KOMFORT odst. 5)",true
"Jaký je limit plnění na movité předměty u varianty KOMFORT?","200 000 Kč (u varianty PRIMA jen 100 000 Kč).","in_scope","VPP M-200_23","čl. 29 odst. 11 a 13",true
"Je škoda způsobená přepětím nebo zkratem kryta ve variantě PRIMA?","Ne — přepětí, podpětí a zkrat jsou kryty ve variantě KOMFORT (limit 500 000 Kč/rok). Zabudované elektromotory jsou proti zkratu/přepětí kryty v obou variantách.","in_scope","VPP M-200_23","čl. 23 odst. 3 a 5, čl. 29 odst. 14",true
"Jaký je rozdíl mezi povodní a záplavou podle těchto podmínek?","Povodeň = přechodné zvýšení hladiny toku, voda zaplavuje mimo koryto; záplava = vytvoření souvislé vodní plochy, která stojí nebo proudí v místě pojištění.","in_scope","VPP M-200_23","čl. 44 odst. 30 a 65",
"Co je „krádež s překonáním překážky""?","Krádež, u které jsou zjištěny stopy prokazující překonání překážky (např. zpřístupnění nevhodným nástrojem, vniknutí jinak než vstupním otvorem, neoprávněně získaný klíč).","in_scope","VPP M-200_23","čl. 44 odst. 8",
"Co znamená pojištění na novou cenu?","Plnění odpovídá nákladům na znovupořízení nové srovnatelné věci. Pokud zůstatková hodnota klesla pod 30 % nové ceny, plní se v časové ceně.","in_scope","VPP M-200_23","čl. 26 a čl. 29 odst. 3",
"Jaký je roční souhrnný limit u pojištění odpovědnosti?","Maximálně dvojnásobek limitu plnění sjednaného ve smlouvě za pojistný rok.","in_scope","VPP M-200_23","čl. 42 odst. 2",true
"Vztahuje se pojištění odpovědnosti na újmu způsobenou úmyslně?","Ne — úmyslně způsobená újma (včetně svévole/škodolibosti) je vyloučena.","in_scope","VPP M-200_23","čl. 38 odst. 1 písm. a",true
"Kolik stojí pojištění bytového domu o ploše 800 m²?","Fallback — dokument neuvádí žádné ceny/sazby pojistného, jen pravidla. Chatbot nesmí vymyslet částku.","out_of_scope","VPP M-200_23","",true
"Vztahuje se toto pojištění i na pojištění vozidel obyvatel domu?","Fallback — dokument se týká bytového domu, movitých předmětů ke správě a odpovědnosti; pojištění vozidel obyvatel zde řešeno není.","out_of_scope","VPP M-200_23","",false
"Jaká je spoluúčast u pojištění skel?","Fallback / opatrná odpověď — čl. 31 (připojištění skel) konkrétní spoluúčast neuvádí (řeší se limitem plnění a smlouvou). Chatbot by neměl spoluúčast vymyslet.","out_of_scope","VPP M-200_23","čl. 31",false
