input,expected_output,category,document,expected_source
"Jaké varianty pojištění bytového domu si mohu sjednat?","Základní varianty PRIMA a KOMFORT; k variantě PRIMA lze navíc sjednat připojištění PRIMA PLUS. KOMFORT kryje nad rámec živelních nebezpečí i krádež, loupež, vandalismus, přepětí/podpětí/zkrat, zatečení srážek apod.","in_scope","VPP M-200_23","VPP M-200_23, část 2 a čl. 23; IPID"
"Kolik mi pojišťovna uhradí za náhradní ubytování, když se byt v pojištěném bytovém domě stane následkem pojistné události neobyvatelným?","Ve variantě KOMFORT do 25 000 Kč na náhradní ubytování obyvatel jednoho bytu, nejvýše však 250 000 Kč za obyvatele všech takových bytů.","in_scope","VPP M-200_23","VPP M-200_23, čl. 29 odst. 13 písm. c)"
"Jsem krytý, když povodeň poškodí dům pět dní po sjednání pojištění?","Ne — nastane-li škoda následkem povodně do 10 dnů po uzavření smlouvy, pojišťovna z této události neplní.","in_scope","VPP M-200_23","VPP M-200_23, čl. 8 odst. 3 (shodně VPP M-100_23, čl. 8 odst. 3; IPID)"
"Jaká je spoluúčast u pojištění elektromotorů a jaký je jejich roční limit plnění?","Spoluúčast 10 % z celkové výše pojistného plnění; limit plnění ze všech pojistných událostí v jednom pojistném roce činí 50 000 Kč.","in_scope","VPP M-200_23","VPP M-200_23, čl. 29 odst. 10"
"Co se podle podmínek považuje za „bytový dům""?","Budova se čtyřmi a více samostatnými byty, ve které nejméně třetina podlahové plochy slouží k trvalému obývání (není-li v pojistné smlouvě ujednáno jinak).","in_scope","VPP M-200_23","VPP M-200_23, čl. 44 odst. 3"
"Do kdy můžu vypovědět smlouvu po jejím uzavření a jaká je výpovědní doba?","Do dvou měsíců ode dne uzavření pojistné smlouvy; pojištění zanikne uplynutím osmidenní výpovědní doby.","in_scope","Informace pro klienta","Informace pro klienta, kap. 7 (shodně VPP M-200_23, čl. 4 odst. 3)"
"Za jak dlouho po skončení šetření vyplatíte pojistné plnění?","Do 15 dnů ode dne skončení šetření nutného ke zjištění existence a rozsahu povinnosti plnit. Samotné šetření má skončit do 3 měsíců od oznámení.","in_scope","VPP M-200_23","VPP M-200_23, čl. 12 odst. 3 (shodně VPP M-100_23, čl. 12 odst. 3)"
"Můžu uplatnit připojištění prodloužené záruky na osmiletou pračku?","Ne — spotřebič nesmí být starší 6 let (počítáno od doloženého data zakoupení jako nové věci). Pračka mezi kryté spotřebiče patří, ale stáří 8 let nárok vylučuje.","in_scope","VPP M-100_23","VPP M-100_23, čl. 31 odst. 2 a odst. 3 písm. b)"
"Vztahuje se pojištění odpovědnosti v běžném občanském životě i na újmu způsobenou v zahraničí?","Ano — plní se z pojistných událostí, při nichž újma i její příčina nastaly na území celého světa. Odpovědnost z vlastnictví nemovitosti platí jen na území ČR.","in_scope","VPP M-100_23","VPP M-100_23, čl. 37 odst. 7 (a čl. 38 odst. 5)"
"Jak a kde nahlásím pojišťovně pojistnou událost?","Telefonicky na infolince 957 105 105, online formulářem na www.koop.cz, osobně na pobočce nebo písemně. Při podezření na trestný čin (krádež) volat policii 158, při požáru hasiče 150.","in_scope","Informace pro klienta","Informace pro klienta, kap. 5"
"Nabízíte životní pojištění a jaké má krytí?","Fallback — životní pojištění není v žádném z nahraných dokumentů. Chatbot má přiznat, že informace v dokumentech není, a odkázat na infolinku; nesmí si vymýšlet.","out_of_scope","",""
"Jaký je limit léčebných výloh u vašeho cestovního pojištění?","Fallback — cestovní pojištění není předmětem nahraných dokumentů. Chatbot nesmí žádné číslo vymyslet a má přiznat, že informaci v podmínkách nenachází.","out_of_scope","",""
